,150,150,100,100,30
,50.0,50.0,30.0,nan,nan
,10.0,nan,nan,nan,nan
0,"[0.8169662099448993, 0.7093413905431276, 0.9988168068460106, 0.7765204181486074]","[0.8055155345927186, 0.7693257052880754, 0.998578333807222, 0.7849625536218232]","[0.8161694015370238, 0.7590198875526057, 0.9988718390857311, 0.8081287589176678]","[0.8496004109597836, 0.7564250568461813, 0.9989085272455447, 0.8108378481678625]","[0.8333093286020027, 0.7511894547519404, 0.9988901831656378, 0.8064314121301279]"
1,"[0.8028326909707422, 0.766758436626653, 0.9986700420083283, 0.7919305878028644]","[0.7955651084508791, 0.7562918265485218, 0.9986425256360868, 0.784543816103584]","[0.7925164005714447, 0.6961834728924639, 0.9986333535120063, 0.750493989638501]","[0.820320466236762, 0.7276154618993109, 0.9987801074972942, 0.7830822190406956]","[0.8145305039755539, 0.7771928879323304, 0.9986333535120063, 0.7932865806600683]"
2,"[0.827903644285126, 0.7472397859628167, 0.9988626461820683, 0.8009973053947923]","[0.8392494288666543, 0.7761458073907146, 0.9988809905984866, 0.8159848812938856]","[0.8350603438228478, 0.7708826494959777, 0.9988626461820683, 0.8118364426925881]","[0.8346847655287988, 0.7682602587693103, 0.9988718183902775, 0.8116441364958007]","[0.8348622155422898, 0.7945163248084377, 0.9988443017656501, 0.8197106109324759]"
