,0.0,0.0,0.0,0.001,0.001,0.001,0.01,0.01,0.01
,0.0,0.2,0.4,0.0,0.2,0.4,0.0,0.2,0.4
0,"[0.8432861271328329, 0.8033157722873879, 0.9986150219670357, 0.8025252089252046]","[0.840063649588493, 0.6675117026068714, 0.998780118686197, 0.7449053921688409]","[0.8035806486517574, 0.5863874345549738, 0.9985508176873619, 0.6469587604357264]","[0.8448812837145274, 0.6779920949316316, 0.9988351509259175, 0.7582635691492907]","[0.780669588900619, 0.6177872649160011, 0.9986333660469425, 0.6879424854515035]","[0.784334186381829, 0.5916184425810754, 0.9985599897273153, 0.6538246442954802]","[0.8333717951610775, 0.6936391783285444, 0.9987709466462436, 0.7621036862940653]","[0.5, 0.5, 0.9982481403688994, 0.49956165112937945]","[0.5, 0.5, 0.9982481403688994, 0.49956165112937945]"
1,"[0.8086375472060761, 0.7615090522013604, 0.9986241813879259, 0.7853697780845901]","[0.8150005831761697, 0.6753283526121606, 0.9987342468768917, 0.7460066959100657]","[0.7878474185495741, 0.596854044633105, 0.9985783207675234, 0.6612162589364101]","[0.823201182490971, 0.7667446542956015, 0.9986425256360868, 0.7894328099553181]","[0.8121041692921561, 0.6020942408376964, 0.9986058371397648, 0.669216308649304]","[0.7870377944653058, 0.5890052356020943, 0.9985599765193623, 0.6507507333801594]","[0.7983842471987431, 0.6857903685799411, 0.9987525911250528, 0.7550834331386912]","[0.5, 0.5, 0.9982481243006255, 0.49956164710526435]","[0.5, 0.5, 0.9982481243006255, 0.49956164710526435]"
2,"[0.8439950055674806, 0.7945163248084377, 0.9988443017656501, 0.8197106109324759]","[0.8431135162913619, 0.6710250669168442, 0.9987984407246044, 0.748741395785569]","[0.8033106113915509, 0.5999954058896494, 0.9985966521440036, 0.6655876588222183]","[0.8451968022994136, 0.7787819804484335, 0.9988993350149048, 0.8190015225841496]","[0.8332844652306763, 0.6368283229321063, 0.9987067186425131, 0.7119212139298914]","[0.793039362899425, 0.5789473684210527, 0.9985324466865397, 0.6359963774920392]","[0.49999999200770684, 0.5, 0.998257280440266, 0.4995639401450473]","[0.5, 0.5, 0.998257280440266, 0.4995639401450473]","[0.5, 0.5, 0.998257280440266, 0.4995639401450473]"
