,3,3,3,5,5,5
,"(50, 10)","(50,)","(30,)","(50, 10)","(50,)","(30,)"
0,"[0.8289504862312473, 0.774639406540683, 0.9987526025663368, 0.8031558631166464]","[0.8406942064892109, 0.7668227559444355, 0.9987984627661038, 0.8041767654363187]","[0.8360914299566943, 0.7381188257888954, 0.9988810111256845, 0.7990619674904829]","[0.8240408551519921, 0.7928261918263494, 0.9985416456474084, 0.7920629683384606]","[0.842958787142651, 0.7747129116309105, 0.9988993552055913, 0.8179062399267797]","[0.8553166263127211, 0.7825800969766893, 0.9989543874453117, 0.8270109279304407]"
1,"[0.7859987451055784, 0.7405574556036961, 0.9985324601471208, 0.7670743957876585]","[0.8212905664052963, 0.7641682002416357, 0.9987159026287308, 0.7950001087878853]","[0.8162435232044589, 0.7537429371566594, 0.9987709353732137, 0.7954239782656135]","[0.791060626236877, 0.6962248198856187, 0.9987159026287308, 0.7582992377948845]","[0.8248960465134807, 0.7511205419991884, 0.9987525911250528, 0.7923706048068913]","[0.8111485745081888, 0.7771699173805777, 0.9985874928916039, 0.7892637658423028]"
2,"[0.8250580308515802, 0.7944382249324787, 0.9986883742260949, 0.8048486524432743]","[0.83767926289696, 0.7551207404738703, 0.9988626461820683, 0.8047466928069325]","[0.8445824245397179, 0.7813538359612451, 0.9987892685163953, 0.8089453909842903]","[0.821817559700055, 0.8179662357068765, 0.9984590690208668, 0.7947359927559945]","[0.8573664093301698, 0.7972030330800124, 0.9989635404723687, 0.8330738149810222]","[0.8594141790589478, 0.7998208296963294, 0.9989451960559504, 0.8320973995848941]"
