,"(150, 50, 10)","(150, 50, 10)","(150, 50, 10)","(150, 50, 10)","(150, 50, 10)","(150, 50, 10)","(150, 50)","(150, 50)","(150, 50)","(150, 50)","(150, 50)","(150, 50)","(100, 30)","(100, 30)","(100, 30)","(100, 30)","(100, 30)","(100, 30)","(100,)","(100,)","(100,)","(100,)","(100,)","(100,)","(30,)","(30,)","(30,)","(30,)","(30,)","(30,)"
,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5
,5,10,20,5,10,20,5,10,20,5,10,20,5,10,20,5,10,20,5,10,20,5,10,20,5,10,20,5,10,20
0,"[0.7762728541561371, 0.7248414637595851, 0.9984590972878278, 0.7525553491925997]","[0.7840206550772524, 0.6282538750363438, 0.9986608821668027, 0.7004845176387]","[0.7857312303318398, 0.7353402323569023, 0.9985508176873619, 0.7659093313138738]","[0.7988884142250401, 0.7197758421864955, 0.998780118686197, 0.7787643755528852]","[0.7290854266053053, 0.6386883266797116, 0.9986241940069891, 0.7066868942207918]","[0.7839563200239026, 0.7066271140650836, 0.9986150219670357, 0.7553166945599574]","[0.7887909207968304, 0.6517819259834529, 0.9986792262467096, 0.7227463354574293]","[0.7888328701640499, 0.7144851112745839, 0.9986517101268493, 0.7633280409500134]","[0.8034078676570279, 0.6962523853075255, 0.9987709466462436, 0.7637768429930272]","[0.7954019903180982, 0.6909754366000317, 0.9986700542067561, 0.7505261757742144]","[0.7502926073707412, 0.7533570371214175, 0.9980004952901574, 0.7349360707523347]","[0.7559236094469417, 0.6778588669555943, 0.9985691617672686, 0.7325185231130178]","[0.7800264411956503, 0.6674657619254791, 0.9986883982866629, 0.7358340531697883]","[0.8093669933411427, 0.7066822428827542, 0.9987250864464765, 0.7656741028894393]","[0.8239387232346547, 0.7328970058990721, 0.9988901831656378, 0.7973810276945132]","[0.7971394185480987, 0.670088157040739, 0.9987067423665698, 0.7395286817967843]","[0.8346677530263559, 0.7956001911902032, 0.9988626670457776, 0.8225723524995932]","[0.797924340594026, 0.7144988934790016, 0.9986792262467096, 0.7659031057394288]","[0.7979267026099166, 0.722292573734553, 0.9985875058471755, 0.7619920299975108]","[0.7976588774843772, 0.7066454903376405, 0.9986517101268493, 0.7586788488385146]","[0.8272518420676166, 0.7590152934844666, 0.9988626670457776, 0.8071686624151202]","[0.8215160628479463, 0.7719894470165882, 0.9986792262467096, 0.7951238181300377]","[0.8339533266688834, 0.7799347315207338, 0.9988901831656378, 0.8191251039526302]","[0.8028122881674101, 0.7485486833641238, 0.9988351509259175, 0.7993929063466998]","[0.822353247513838, 0.6884265465749996, 0.9987984627661038, 0.7615174182000185]","[0.8530917439307213, 0.779962295929569, 0.9989452154053583, 0.8249638689110694]","[0.7986424430052448, 0.7223017618708315, 0.9986058499270822, 0.7636261023153086]","[0.8119934875292623, 0.821433646550966, 0.9982664844488063, 0.782324375518048]","[0.8039300909135196, 0.6544089151668517, 0.9987067423665698, 0.7274755289080687]","[0.826328743660842, 0.6806007078424735, 0.998825978885964, 0.759104632483186]"
1,"[0.7639026834988489, 0.7404655733966856, 0.998349017665511, 0.7523338170043546]","[0.769984046560098, 0.7457011754909263, 0.9983673619136719, 0.7564217553242202]","[0.794218833193457, 0.7380269426532359, 0.9986975583805697, 0.7805381025867137]","[0.7596401792075348, 0.688316287420051, 0.9985783207675234, 0.7404467677447494]","[0.793170226356077, 0.6779185889971778, 0.9986883862564893, 0.7433992750367615]","[0.7968285782886005, 0.7823136372678079, 0.998422394658155, 0.777955411082853]","[0.762900398025113, 0.743101750885208, 0.9983948782859134, 0.7572157826544426]","[0.7691963192093529, 0.7118489321820316, 0.9986058371397648, 0.7576127400938181]","[0.7902329477638887, 0.7275419561337024, 0.9986333535120063, 0.7690076767257482]","[0.7660658659352528, 0.7118397439613305, 0.9985874928916039, 0.7559754746544766]","[0.7755657481846518, 0.72490577864518, 0.9985874928916039, 0.7634500254696213]","[0.7782046586677025, 0.719720711764795, 0.9986700420083283, 0.7680376395768964]","[0.7801668811994789, 0.6857260510350338, 0.9986241813879259, 0.7428062690608236]","[0.7628029901029145, 0.6804674783890402, 0.9985599765193623, 0.7335378115070421]","[0.8051913015527007, 0.8057911527055823, 0.9983398455414305, 0.7815118808144722]","[0.7755929702028186, 0.7535270139701844, 0.9983398455414305, 0.7582509130500696]","[0.7848711825275896, 0.6831863498638725, 0.9987709353732137, 0.7551667998074514]","[0.7916727705844138, 0.7457654930358338, 0.998495771650799, 0.7666687894099469]","[0.8142581887079423, 0.7406493378107069, 0.9987159026287308, 0.7836291152263375]","[0.7722950673758366, 0.750909212923064, 0.99833067341735, 0.7562664433012054]","[0.7814391418859885, 0.8186734229754106, 0.9979729605782107, 0.7618577485579738]","[0.8082864722134869, 0.7484062646347068, 0.9985508043952819, 0.7726256277108937]","[0.7921430116625591, 0.7145356448844099, 0.9987525911250528, 0.7730210514713987]","[0.7809903314046441, 0.7535545786322876, 0.9983948782859134, 0.7624706680770864]","[0.8190240387290679, 0.7459125045670508, 0.9987892796213748, 0.79344687505741]","[0.8100564718249725, 0.805814123257335, 0.998385706161833, 0.7849615199361852]","[0.7882293742811759, 0.7720261974933476, 0.9987525911250528, 0.8020132364195096]","[0.8117483729861718, 0.7744694223471477, 0.9984132225340745, 0.7737540436603463]","[0.8078175840142116, 0.7380223485428854, 0.9986883862564893, 0.7796716071043095]","[0.794391280152647, 0.743161474319765, 0.9985141158989599, 0.7668693144883847]"
2,"[0.7246682885494325, 0.6472627565145693, 0.9985599633111671, 0.7078179848112822]","[0.8067477266941951, 0.7786441571379175, 0.998624168768631, 0.7924731497722627]","[0.8153785672428053, 0.7235509813261504, 0.998770924099977, 0.7792975651978863]","[0.7987519953463089, 0.7445347012498398, 0.9987067186425131, 0.7840798637878692]","[0.776278174140181, 0.7129281892193156, 0.9985416188947489, 0.7519713157954265]","[0.7769003598692603, 0.8019057095119846, 0.9978628754872736, 0.7478447115729314]","[0.7597022317269622, 0.7129281892193156, 0.9985416188947489, 0.7519713157954265]","[0.8044198390733762, 0.7156792150357978, 0.9987892685163953, 0.7767239327095863]","[0.7911882034363059, 0.7392577610240514, 0.9986608576014675, 0.7771037344333264]","[0.7889797767896252, 0.6946633363396546, 0.9987892685163953, 0.7639826422372227]","[0.7934556839063993, 0.7025121320782546, 0.9987250630589314, 0.76247947170846]","[0.8166295977970874, 0.7917055755573985, 0.998477413437285, 0.7857011490529107]","[0.7833285038134545, 0.752273238340027, 0.9984223801880303, 0.7633411992856329]","[0.7648341483888927, 0.7391107494928343, 0.9983673469387755, 0.7523689395215418]","[0.8025448416558181, 0.7602828279408956, 0.9986792020178858, 0.7891429660008142]","[0.7728581110423153, 0.6893266726793094, 0.998624168768631, 0.7445535369863516]","[0.8075207056568928, 0.7130384478677283, 0.998761751891768, 0.7724172884790648]","[0.8136283163375027, 0.7524570027540483, 0.9987892685163953, 0.7959931630003187]","[0.8194724627913781, 0.6920133809508842, 0.9987434074753497, 0.7576359736516779]","[0.8213366924156984, 0.7051620874670251, 0.998770924099977, 0.7686578390635689]","[0.7987747443772564, 0.736644558518085, 0.9986883742260949, 0.7783093780021423]","[0.8249097543823865, 0.7367042819526419, 0.9988076129328136, 0.7900240594731212]","[0.8025572841890762, 0.7968906335761764, 0.9983398303141481, 0.7772254590760125]","[0.8044103361969452, 0.6920317573922863, 0.9987800963081862, 0.7613433788730982]","[0.8242171317715772, 0.7524432204229967, 0.998761751891768, 0.793267954690513]","[0.8229270145064216, 0.7078166369661463, 0.9988259573492319, 0.7759298800793263]","[0.8245350871208565, 0.731431935837204, 0.998770924099977, 0.7835632613030634]","[0.8316894083909043, 0.7393312667896599, 0.9988076129328136, 0.7913681427526048]","[0.8082252908100369, 0.718283229321063, 0.9987434074753497, 0.7736128074637018]","[0.8089426793231191, 0.7209285905994831, 0.9987800963081862, 0.7787643699429052]"
