,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.01,0.01,0.01,0.01,0.01,0.01
,0.0,0.0,0.2,0.2,0.4,0.4,0.0,0.0,0.2,0.2,0.4,0.4,0.0,0.0,0.2,0.2,0.4,0.4
,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
0,"[0.8535425791785138, 0.8269402986654208, 0.998825978885964, 0.8303938157298197]","[0.8006765890768559, 0.6727151462241377, 0.9987342584864299, 0.74412761676197]","[0.8425054601077008, 0.6256360739892233, 0.9986517101268493, 0.6971934156756472]","[0.7866207215059342, 0.5523560209424083, 0.9984315811679676, 0.5943942453621051]","[0.795980308033043, 0.5, 0.9982481403688994, 0.49956165112937945]","[0.7417296262290063, 0.5, 0.9982481403688994, 0.49956165112937945]","[0.8152897344647931, 0.7223660788247805, 0.9987342584864299, 0.7756571430002859]","[0.8180308229278741, 0.7667538449223473, 0.9986608821668027, 0.791093253749521]","[0.5128995387594103, 0.5, 0.9982481403688994, 0.49956165112937945]","[0.5775857855863114, 0.5, 0.9982481403688994, 0.49956165112937945]","[0.5000355643227304, 0.5, 0.9982481403688994, 0.49956165112937945]","[0.502496984276156, 0.5, 0.9982481403688994, 0.49956165112937945]","[0.5000001531077699, 0.5, 0.9982481403688994, 0.49956165112937945]","[0.49999994380166096, 0.5, 0.9982481403688994, 0.49956165112937945]","[0.5, 0.5, 0.9982481403688994, 0.49956165112937945]","[0.5, 0.5, 0.9982481403688994, 0.49956165112937945]","[0.5, 0.5, 0.9982481403688994, 0.49956165112937945]","[0.5, 0.5, 0.9982481403688994, 0.49956165112937945]"
1,"[0.813950830255596, 0.7902727049472315, 0.9986608698842478, 0.8012950862958113]","[0.7884404481731848, 0.7484108587450574, 0.9985599765193623, 0.7734146364548118]","[0.8232813284428512, 0.6465738880869908, 0.9987159026287308, 0.721900826446281]","[0.7539533375035111, 0.5680628272251309, 0.9984865995267184, 0.619436941184609]","[0.7857041192537505, 0.5, 0.9982481243006255, 0.49956164710526435]","[0.684173855918975, 0.5, 0.9982481243006255, 0.49956164710526435]","[0.8013054027788143, 0.6988747797051929, 0.9987892796213748, 0.7673025589708857]","[0.7780297018853317, 0.7196563942198876, 0.9985416322712014, 0.7565155944341033]","[0.5319628143024686, 0.5, 0.9982481243006255, 0.49956164710526435]","[0.5344896400168477, 0.5, 0.9982481243006255, 0.49956164710526435]","[0.5000740586618494, 0.5, 0.9982481243006255, 0.49956164710526435]","[0.5030850826298522, 0.5, 0.9982481243006255, 0.49956164710526435]","[0.5000000242881886, 0.5, 0.9982481243006255, 0.49956164710526435]","[0.5000000724604121, 0.5, 0.9982481243006255, 0.49956164710526435]","[0.5, 0.5, 0.9982481243006255, 0.49956164710526435]","[0.5, 0.5, 0.9982481243006255, 0.49956164710526435]","[0.5, 0.5, 0.9982481243006255, 0.49956164710526435]","[0.5, 0.5, 0.9982481243006255, 0.49956164710526435]"
2,"[0.8264937114904104, 0.7524753791954504, 0.9988259573492319, 0.7997060579616957]","[0.7976856838462567, 0.783764897611788, 0.9983581747305664, 0.7730065203060587]","[0.8219445606698814, 0.6499540588964946, 0.9986883742260949, 0.7214615898889891]","[0.7526350043625605, 0.5947230597742115, 0.9985599633111671, 0.6568448525169168]","[0.787899472373689, 0.5578947368421052, 0.9984590690208668, 0.6033879772522666]","[0.7478082387506577, 0.5, 0.998257280440266, 0.4995639401450473]","[0.8253998321933322, 0.7051896521291283, 0.9988259573492319, 0.7743539938786859]","[0.817823064731815, 0.6499816235585979, 0.9987434074753497, 0.7267771232985039]","[0.5929301818912321, 0.5, 0.998257280440266, 0.4995639401450473]","[0.7820587312927587, 0.5473684210526316, 0.9984223801880303, 0.586143679999548]","[0.619225930672931, 0.5263157894736842, 0.9983490025223573, 0.5495868717007115]","[0.6678954303093039, 0.5, 0.998257280440266, 0.4995639401450473]","[0.5000000882545763, 0.5, 0.998257280440266, 0.4995639401450473]","[0.5000001920674132, 0.5, 0.998257280440266, 0.4995639401450473]","[0.5000000079923667, 0.5, 0.998257280440266, 0.4995639401450473]","[0.5, 0.5, 0.998257280440266, 0.4995639401450473]","[0.5, 0.5, 0.998257280440266, 0.4995639401450473]","[0.5, 0.5, 0.998257280440266, 0.4995639401450473]"
